gene,sample,expression,time
Gpr179,GSM2545336,72,8
Pou4f1,GSM2545336,75,8
Tmprss3,GSM2545336,58,8
Prl2c2,GSM2545336,22,8
Slc35b1,GSM2545336,1751,8
Myoc,GSM2545336,384,8
Cartpt,GSM2545336,248,8
Tchh,GSM2545336,118,8
H2-Q2,GSM2545336,66,8
Ascl1,GSM2545336,161,8
Crhr1,GSM2545336,2659,8
Gm4017,GSM2545336,14,8
Impg1,GSM2545336,63,8
Rxfp3,GSM2545336,34,8
AI504432,GSM2545336,1230,8
Mpo,GSM2545336,6,8
Oxtr,GSM2545336,41,8
Usp2,GSM2545336,4867,8
Lor,GSM2545336,39,8
Srrm4,GSM2545336,3525,8
Slc35g1,GSM2545336,229,8
Tceal6,GSM2545336,1453,8
Dach2,GSM2545336,79,8
Lgr6,GSM2545336,297,8
Kcna4,GSM2545336,269,8
Zfyve28,GSM2545336,3747,8
Hps4,GSM2545336,589,8
Ucp3,GSM2545336,181,8
Mettl17,GSM2545336,811,8
Atg9b,GSM2545336,117,8
Usp3,GSM2545336,4594,8
Acta2,GSM2545336,234,8
Wdr24,GSM2545336,630,8
Zw10,GSM2545336,1479,8
Ubtd2,GSM2545336,2789,8
Slc6a4,GSM2545336,268,8
Cog1,GSM2545336,1803,8
S100a9,GSM2545336,122,8
Nadk,GSM2545336,2546,8
Col6a1,GSM2545336,698,8
Susd2,GSM2545336,284,8
Fam53b,GSM2545336,2539,8
Npas1,GSM2545336,72,8
Rhbdf1,GSM2545336,571,8
Cacnb1,GSM2545336,999,8
Zfp579,GSM2545336,721,8
Dtx4,GSM2545336,1145,8
Chrm3,GSM2545336,217,8
Plcl2,GSM2545336,1883,8
Ptprj,GSM2545336,3969,8
Cyhr1,GSM2545336,5673,8
Stx5a,GSM2545336,2548,8
Smim8,GSM2545336,531,8
Pappa2,GSM2545336,13,8
Stbd1,GSM2545336,30,8
Rln3,GSM2545336,5,8
Ldlr,GSM2545336,1314,8
Bmp2,GSM2545336,66,8
Itga10,GSM2545336,258,8
Unc45a,GSM2545336,1529,8
Hap1,GSM2545336,4313,8
Gm35339,GSM2545336,245,8
Serpinb8,GSM2545336,115,8
Tmem200c,GSM2545336,267,8
Ngb,GSM2545336,208,8
Myh11,GSM2545336,234,8
